Name,Town,MIDAS Number,Latitude,Longitude,Elevation,Notes,Name Change
Paine Pond,Paris,3498,44.26462272,-70.5554174361,580, , 
Palin Pond,Brighton Plt,0256,45.0778055938,-69.707701802,930, , 
Palmer Deadwater,Reed Plt,6182,45.7150564087,-68.06573426209999,410, , 
Palmer Meadow Dwtr,Medford,8996,45.2947127767,-68.8902600891,335,missing 24k lake/pond data - this feature is in the rivers layer, 
Palmer Pond,Mayfield Twp,0266,45.167893849,-69.7311432206,1258, , 
Pamola Pond,Mount Katahdin Twp,2056,45.917920325,-68.8889185148,2530, , 
Panther Pond,Raymond,3694,43.9281879433,-70.46475691489999,277, , 
Papoose Pond,Moosehead Junction Twp,0338,45.4609633725,-69.6595583308,1630, , 
Papoose Pond,Waterford,3414,44.2324906161,-70.7131751334,477, , 
Paradise Pond,Damariscotta,5708,44.0252025366,-69.487315211,115,Muddy Pond, 
Park Pond,Lee,2248,45.3621965329,-68.2892803041,385, , 
Parker Bog Pond #1,T3 R5 BKP WKR,0124,45.3489724553,-70.2309471793,1160,Parker Bog Ponds, 
Parker Bog Pond #2,T3 R5 BKP WKR,0130,45.351916679,-70.2318266421,1165,Parker Bog Ponds, 
Parker Bog Pond #3,T3 R5 BKP WKR,0132,45.35355348760001,-70.23167476579999,1170,Parker Bog Ponds, 
Parker Bog Pond #4,T3 R5 BKP WKR,6100,45.35193860170001,-70.2247816453,1180,Parker Bog Ponds, 
Parker Pond,Casco,3388,43.9945854429,-70.5159102194,426, , 
Parker Pond,Sebec,4136,45.23573297840001,-69.11405809039999,496, , 
Parker Pond,Brooksville,4632,44.3738023339,-68.70762380860001,65, , 
Parker Pond,Lyman,5036,43.5343687255,-70.6094805867,265, , 
Parker Pond,T3 R5 BKP WKR,5148,45.3290631088,-70.2911176243,1184, , 
Parker Pond,Mount Vernon,5186,44.494227669,-70.0314957417,358, , 
Parker Pond,Jay,5216,44.5089513071,-70.1416067175,361, , 
Parks Pond,Clifton,4272,44.8138428914,-68.49845017120001,257, , 
Parlin Pond,Parlin Pond Twp,2544,45.52338083240001,-70.08580236260001,1606, , 
Parmachenee Lake,Lynchtown Twp,3966,45.1524813508,-70.9838180471,1622,Parmacheene Lake, 
Partridge Brk Flowage,East Millinocket,2126,45.659373199,-68.6069048091,336, , 
Partridge Pond,T8 R11 WELS,2790,46.36943075359999,-69.14987920340001,1172, , 
Partridge Pond,Amherst,4556,44.8605119139,-68.40383489289999,581, , 
Passaconway Pond,York,5606,43.2015898517,-70.5955637255,30,"Lake Carolyn, Summit Pond", 
Passamagamet Lake,T1 R9 WELS,0970,45.7472908092,-68.9441891123,493,"Passamagmoc Lake, Passamagormac Lake", 
Pat's Pond,Boothbay Harbor,7897,43.8566851304,-69.6215888003,65, ,Yes - unnamed pond to local name
Patrick Lake,Cathance Twp,1380,44.8761364953,-67.385608883,129, , 
Patte Mill Pond,Albany Twp,6761,44.3230651492,-70.82511882030001,784, ,Yes - unnamed pond to local name
Pattee Pond,Winslow,5458,44.5338134959,-69.5619460233,141, , 
Patten Pond,Talmadge,1330,45.30583516839999,-67.6958308734,291, , 
Patten Pond,Hampden,2292,44.7544499539,-68.954775021,123, , 
Pea Cove,Island Falls,6536,46.0005322271,-68.2427708207,427,Part of / connected to West Branch Mattawamkeag River, 
Peabody Pond,Sebago,3374,43.9449007116,-70.6878345674,480, , 
Peaked Mountain Pond,Northfield,1254,44.7668175923,-67.69843969830001,230, , 
Peaked Mountain Pond,T4 R7 WELS,2208,46.0118047429,-68.63483358889999,765, , 
Peaked Mountain Pond,T10 R11 WELS,5774,46.5081965197,-69.0876097538,1475, , 
Pearl Pond,Township 6 North of Weld,2342,44.8266812533,-70.48133317609999,1125, , 
Pearl Pond #1,Bowdoin College Grant West Twp,0416,45.5156277256,-69.4007319011,1470,Pearl Ponds, 
Pearl Pond #2,Bowdoin College Grant West Twp,0418,45.51623838639999,-69.39632326180001,1475,Pearl Ponds, 
Pease Pond,Wilton,5198,44.5988161967,-70.1782202072,377, , 
Peat Pond,Fryeburg,5570,43.9725170825,-70.9569389787,485, , 
Peep Lake,T30 MD BPP,9821,44.9095104781,-67.89209860610001,268,Peep Lake (south), 
Peep Lake,T30 MD BPP,9821,44.9128861956,-67.8920169024,268,Peep Lake (north), 
Pemadumcook Chain Lake,T1 R9 WELS,0982,45.7059507319,-68.9362835285,492,"Pamadumcook Lake, Pamedemcook Lake, Pamedumcook Lake, Pemedumcook Lake", 
Pemaquid Pond,Damariscotta,5704,44.0597683298,-69.4529927551,77, , 
Penman Pond,T26 ED BPP,0113,44.9657177948,-67.7259428025,236, , 
Pennamaquan Lake,Charlotte,1402,45.00589670160001,-67.2280828346,76,Pemaquan Lake, 
Pennamaquan River,Pembroke,1337,44.972056446,-67.1804610893,55,missing 24k lake/pond data - this feature is in the rivers layer, 
Pennell Pond,New Portland,0010,44.9349617353,-70.1071484509,787, , 
Pennesseewassee Lake,Norway,3434,44.2302832706,-70.5829333058,397, , 
Pennington Pond,T15 R6 WELS,1612,46.9370697992,-68.5225866657,910, , 
Penny Pond,Belgrade,5286,44.4068803502,-69.8303843349,267, , 
Penobscot Club Pond,Brewer,9566,44.8066882342,-68.7447206801,25,Penobscot Conservation Club Pond,Yes - unnamed pond to local name
Penobscot Lake,Dole Brook Twp,0339,45.9380683514,-70.2177813772,1602, , 
Penobscot Pond,T1 R12 WELS,0568,45.6829848035,-69.2041041599,1257, , 
Pepperpot Pond,Adamstown Twp,3298,44.9173978828,-70.9106913323,1499, , 
Pequawket Lake,Brownfield,0401,43.909951061,-70.8426968788,363,"Pequawket Lake (West) - Pequawket Pond, Rattlesnake Pond", 
Pequawket Lake,Brownfield,0401,43.9110860599,-70.8386075905,363,"Pequawket Lake (East) - Pequawket Pond, Rattlesnake Pond", 
Perch Pond,T15 R9 WELS,1522,46.9388958248,-68.86132760389999,1270, , 
Perk Pond,Rangeley,2394,45.00114841,-70.6776749628,1670, , 
Perley Pond,Denmark,3140,43.9671785508,-70.7462519321,521,Perely Pond, 
Perley Pond,Sebago,3378,43.9008472876,-70.6687942522,419, , 
Perry Pond,Harmony,2584,44.9493646698,-69.5711362274,497, , 
Perry Pond,Sandy River Plt,3558,44.876426267,-70.5023107424,1630, , 
Perry Pond,Newfield,6873,43.6661466454,-70.8448795938,410, , 
Peter's Pond,Waldoboro,5714,44.057412659,-69.3919485193,95,Gross Pond, 
Petes Pond,T13 R10 WELS,1482,46.8174803475,-69.06238736980001,1440,Pete's Pond, 
Pettingill Park Pond,Auburn,3749,44.1069175694,-70.2345428177,175,Pettengill Park Pond,Existing name - not on USGS maps or in GNIS
Pettingill Pond,Windham,3716,43.8548546067,-70.4463677816,295,"Pettinghill Pond, Tuttle Pond", 
Peverly Pond,Belgrade,8209,44.4598866082,-69.8354988844,275, , 
Phillips Lake,Dedham,4300,44.6932104729,-68.6033514534,228,"Filtz Pond, Fitts Pond, Fitz Pond", 
Phillips Pond,York,5608,43.2050472254,-70.59081823210001,10,Passaconway Pond, 
Phippsburg Sports Pond,Phippsburg,0533,43.8618448254,-69.809763989,100,Named changed from unammed pond on 3/1/06 per IF&W request,Yes - unnamed pond to local name
Pickerel Lake,T30 MD BPP,1166,44.8833982805,-67.8701592586,239, , 
Pickerel Pond,Topsfield,1084,45.46709794609999,-67.7597515767,481, , 
Pickerel Pond,Alton,2152,45.0466727133,-68.77015285989999,188, , 
Pickerel Pond,Turner,3628,44.2730697644,-70.2711266931,333, , 
Pickerel Pond,Wayne,3826,44.3656474632,-70.04699064810001,284, , 
Pickerel Pond,Limerick,3940,43.7019478095,-70.7786109326,340,Pickeral Pond, 
Pickerel Pond,T32 MD BPP,4587,44.9732921362,-68.45465190900001,253, , 
Pickerel Pond,Lowell,4718,45.2362973959,-68.4681919662,285, , 
Pickerel Pond,T6 R1 NBPP,7405,45.350083371,-67.9505082909,311, , 
Pickerel Pond,Barnard Twp,0934,45.3229335366,-69.19327431080001,542, , 
Pickerel Pond,Denmark,9687,43.9678986426,-70.7361271393,515, , 
Pickerel Pond,Pierce Pond Twp,9913,45.2922691261,-70.0904190919,1159, , 
Pickett Mountain Pond,T6 R6 WELS,3658,46.1337729154,-68.44349244359999,1044, , 
Picture Pond,Sanford,3856,43.4042056073,-70.7627557906,245, , 
Pierce Lake,Caswell,1850,46.9771941587,-67.80588791549999,688, , 
Pierce Pond,Penobscot,4660,44.4835445267,-68.7224297043,83, , 
Pierce Pond,Pierce Pond Twp,0086,45.2649831973,-70.0739196059,1141, , 
Pillsbury Pond,T8 R11 WELS,2786,46.3344120799,-69.181974087,1012, , 
Pine Lake,Calais,1422,45.1141486915,-67.22622960610001,170, , 
Pine Pond,T7 R15 WELS,2990,46.27454853449999,-69.6559108554,1206, , 
Pine Stream Flowage,T4 R13 WELS,2906,45.958189937,-69.4338678877,961,missing 24k lake/pond data - this feature is in the rivers layer, 
Pineland Pond,New Gloucester,3713,43.9022477538,-70.25320931250001,315,Hospital Pond,Existing name - not on USGS maps or in GNIS
Pineo Pond,Deblois,0003,44.7185887785,-67.93813360270001,205,Pined Pond, 
Pingree Pond,T11 R7 WELS,9153,46.60927471199999,-68.583714642,810, , 
Pingree Pond,Parkman,9598,45.1097428193,-69.4521210452,528, ,Yes - unnamed pond to local name
Pinkham Pond,Newfield,3896,43.6146357517,-70.94182083520001,565,Hidden Lake, 
Pinkham Pond,Alna,5402,44.1086707169,-69.66456310869999,214, , 
Pinnacle Pond,Kingfield,0030,44.9657090487,-70.172424673,595, , 
Pipe Dream Pond,Cornish,2191,43.8051518738,-70.8265296367,310, ,Yes - unnamed pond to local name
Piper Pond,Abbot,0298,45.2040180844,-69.5227204972,619, , 
Pitcher Pond,Northport,4848,44.3328958037,-69.032320167,204, , 
Pitman Pond,T2 R10 WELS,0598,45.8235217365,-69.0093912407,810, , 
Plain Pond,Porter,3166,43.8010257567,-70.9697072666,395, , 
Pleasant Hill Pond,Scarborough,6436,43.6003464773,-70.29499654350001,35, , 
Pleasant Lake,T6 R1 NBPP,1100,45.3537523981,-67.921972544,319, , 
Pleasant Lake,Alexander,0159,45.06450096690001,-67.4842509124,230, , 
Pleasant Lake,T4 R3 WELS,1728,46.0250012023,-68.1625614142,536, , 
Pleasant Lake,Stetson,2270,44.8848481531,-69.1070624739,238,Stetson Pond, 
Pleasant Lake,Otisfield,3446,44.0372954119,-70.5224935893,426, , 
Pleasant Lake,T6 R6 WELS,3670,46.1608864361,-68.46647996430001,816,Connected to Mud Lake, 
Pleasant Pond,Orneville Twp,2160,45.15076298889999,-68.9805506822,370, , 
Pleasant Pond,Caratunk,0224,45.2536831,-69.9209062969,1268, , 
Pleasant Pond,Denmark,3252,44.0062869802,-70.88802569150001,362, , 
Pleasant Pond,Sumner,3612,44.3692069819,-70.472241564,582, , 
Pleasant Pond,Turner,3822,44.3189267212,-70.2254754627,381, , 
Pleasant Pond,Litchfield,5254,44.1688166272,-69.8553385143,135,missing 24k lake/pond data - this feature is in the rivers layer, 
Pleasant River Lake,Beddington,1210,44.8494979956,-67.9782305769,318, , 
Pleasant Stream Ddwtr,T9 R12 WELS,6318,46.4704517473,-69.22644958079999,950, , 
Plissey Lake,Washburn,1790,46.8153763321,-68.132419934,625, , 
Plunkett Pond,Benedicta Twp,3056,45.78500952739999,-68.3677826975,445, , 
Plymouth Pond,Plymouth,2276,44.7573655102,-69.20369225890001,268,Plymouth Pond (West), 
Plymouth Pond,Plymouth,2276,44.7563300279,-69.18620181599999,268,Plymouth Pond (East), 
Pocasset Lake,Wayne,3824,44.3630146275,-70.0608159219,284, , 
Pockwockamus Deadwater,T2 R9 WELS,9688,45.80038461499999,-68.9402503993,530,missing 24k lake/pond data - this feature is in the rivers layer, 
Pockwockamus Pond,T2 R9 WELS,0245,45.799433263,-68.88152838960001,585, , 
Pocomoonshine Lake,Princeton,1290,45.14047398149999,-67.5508326504,132,"Pocamoonshine Lake, Pokamoonshine Lake, Pokeshine Lake, Shining Lake", 
Pocumcus Lake,T6 ND BPP,1110,45.1937839521,-67.90940942020001,298,"Pocumpus Lake, Compass Lake", 
Podunk Pond,Carthage,3684,44.60090892,-70.4163711202,884, , 
Pogy Pond,T4 R9 WELS,4206,46.0326881504,-68.8923626477,1140, , 
Poison Pond,Jim Pond Twp,0025,45.2614809897,-70.5659538537,1195, , 
Poland Pond,T7 R14 WELS,2994,46.2676125532,-69.5972922056,1007, , 
Polly Pond,T3 R11 WELS,0692,45.9093047431,-69.0782699682,1125, , 
Polly Pond,T13 R15 WELS,9245,46.75201327850001,-69.7030381403,1158, , 
Pollywog Pond,T1 R11 WELS,0576,45.7589020325,-69.19339351639999,905, , 
Pond-in-the-River,Sanford,3860,43.3993181862,-70.7645967255,225,missing 24k lake/pond data - this feature is in the rivers layer, 
Pond Farm Pond,Howland,9863,45.2982147498,-68.7048091424,185, ,Yes - unnamed pond to local name
Pond in the River,Township C,3328,44.7626983363,-70.9292653368,1402, , 
Pond Lake,Grand Lake Stream Plt,7447,45.23247450609999,-67.7519257054,430, , 
Pooler Ponds,The Forks Plt,4106,45.2912147101,-69.9896847327,530, , 
Pork Barrel Lake,T6 R1 NBPP,1102,45.2995817589,-67.9062012098,516, , 
Portage Lake,Portage Lake,1602,46.7758216054,-68.50721210019999,608, , 
Porter Lake,Strong,0012,44.8116906418,-70.1503987806,637, , 
Porter Pond,T3 ND BPP,4760,45.1607345832,-68.21996780160001,456, , 
Porter Pond,T5 R6 BKP WKR,6938,45.3858529987,-70.3616043232,1790, , 
Portland Lake,Bridgewater,1008,46.4009993299,-67.82496105750001,446, , 
Possum Lake,T26 ED BPP,1310,45.0181680146,-67.6940379354,263,Possum Pond, 
Potter Bog Pond,Brighton Plt,0251,45.07699199879999,-69.64247877920001,950, , 
Potter Pond,Patten,2300,45.9662927317,-68.5517586812,745, , 
Poverty Pond,Willimantic,0856,45.2716646123,-69.3876112167,585, , 
Poverty Pond (Big),Newfield,0157,43.6263617761,-70.8298152855,389,Silver Lake (US-T121), 
Power Trout Pond,Moosehead Junction Twp,0341,45.3979195875,-69.6186435644,1050, ,Yes - unnamed pond to local name
Pratt Lake,Washburn,1792,46.816505994,-68.1025686691,605, , 
Pratt Lake,T11 R9 WELS,1972,46.6397782404,-68.88860029,939,Pratt Pond, 
Pratts Pond,Freeport,8865,43.8382601595,-70.1070485539,110, ,Yes - unnamed pond to local name
Prentiss Pond,Brighton Plt,0250,45.0274699566,-69.6915273037,913, , 
Prentiss Pond,T1 R11 WELS,0562,45.7295667183,-69.15213052679999,1105, , 
Prescott Pond,Moxie Gore,4058,45.36987211150001,-69.89568330340001,941, , 
Prescott Pond,Palermo,5746,44.439063136,-69.3983329062,802, , 
Prescott Pond,Elliottsville Twp,0898,45.3800373173,-69.48855157830001,996, , 
Presley Lake,T12 R17 WELS,1870,46.72854202189999,-69.9175296782,1274, , 
Presque Isle Lake,T9 R3 WELS,1758,46.407788342,-68.09139236,905, , 
Pretty Pond,T24 MD BPP,1214,44.8276181114,-67.9026606855,267, , 
Pretty Pond,T8 R11 WELS,2802,46.3215549104,-69.1211387563,1009, , 
Prick Pond,Skinner Twp,0027,45.4449270413,-70.5163727393,2470, , 
Priestly Lake,T10 R13 WELS,1906,46.5422106025,-69.3879961185,1139, , 
Proctor Pond,Albany Twp,3210,44.2435926559,-70.7961135539,577, , 
Prong Pond,Beaver Cove,9791,45.5353776477,-69.527521416,1032, , 
Prouts Pond,Scarborough,5643,43.5592692382,-70.3184333559,10, ,Yes - unnamed pond to local name
Province Lake,Parsonsfield,9887,43.6880910466,-70.9794359782,480, , 
Pudding Pond,Bowerbank,0932,45.33375154400001,-69.2002667464,607, , 
Puffers Pond,Dexter,0744,45.0159990021,-69.2636637958,342,Echo Lake, 
Pug Heath Pond,Northfield,7473,44.8614168729,-67.5785267169,175, , 
Pug Hole-Sysladobsis L,Lakeville,4730,45.2970725799,-68.0561006403,304, , 
Pug Hole Pond,Great Pond,6072,44.9134084032,-68.3050008055,265, , 
Pug Lake,Northfield,1256,44.8264935233,-67.58592531070001,133,Pug Pond, 
Pug Lake,Alexander,1296,45.1081218827,-67.5412123942,136, , 
Pug Lake (W Grand L),Pukakon Twp,1150,45.27726627690001,-67.95478488800001,298,Connected to West Grand lake, 
Pug Pond,Alton,2154,45.03728006659999,-68.7785813652,192, , 
Pug Pond,Hermon,2280,44.7889389689,-68.8986641213,125,Pugs Pond, 
Pug Pond,Amherst,4574,44.8476525082,-68.3996650495,445, , 
Pughole Pond,T41 MD BPP,4786,45.0407993922,-68.0673113726,396, , 
Pugwash Pond,Bowdoin College Grant East Twp,0798,45.4815003983,-69.2866586952,670, , 
Pumphouse Pond,Poland,8951,44.0347059169,-70.35495378970001,311,Mud Pond, 
Punchbowl Pond,Blanchard Twp,0294,45.2257607944,-69.5928320558,996, , 
Pushaw Lake,Old Town,0080,44.9363145957,-68.7993219414,116, , 
Pushineer Pond,T15 R9 WELS,1514,46.96092954300001,-68.8415804798,1133, , 
Pym Pond #1,Rainbow Twp,0630,45.8393626263,-69.1372326124,1193,Pyn Pond, 
Pym Pond #2,Rainbow Twp,0631,45.84022110919999,-69.13925742160001,1160,feature added from wetland data, 
Quaker Brook Dwtr,Baldwin,8919,43.8159301071,-70.66893885890001,290,Woods Millpond, 
Quakish Lake,T3 Indian Purchase Twp,2116,45.6357134857,-68.7506359636,459, , 
Quantabacook Lake,Searsmont,4832,44.3940208984,-69.17613458130001,183, , 
Quarry Pond,Franklin,4389,44.5558915197,-68.2357035343,190, ,Yes - unnamed pond to local name
Quarry Pond,Vinalhaven,5549,44.0576360676,-68.83679850839999,75, , 
Quarry Pond,Hallowell,8163,44.3088906866,-69.8302065779,455, ,Yes - unnamed pond to local name
Quarry Pond,Sullivan,8421,44.5450434807,-68.2323083344,150, ,Yes - unnamed pond to local name
Quarry Pond,Falmouth,8889,43.7025380402,-70.2661405696,60, , 
Quill Pond,Dallas Plt,2386,45.02857784490001,-70.5346523258,2031, , 
Quimby Pond,Rangeley,3526,44.9887872583,-70.74195946659999,1682, , 
Quint's Bog,Brownfield,6712,43.9711153311,-70.9090588161,365,feature added from wetland data,Existing name - not on USGS maps or in GNIS
Rabbit Pond,Elliottsville Twp,0366,45.3561502622,-69.5018887201,1152, , 
Rabbit Pond,T1 R11 WELS,0552,45.68422277709999,-69.1177996549,1245, , 
Rache Pond,Dennistown Plt,9741,45.71579774970001,-70.31386676699999,1570, , 
Rack Pond,Livermore Falls,5670,44.4425061309,-70.1218155695,366, , 
Ragged Lake,T2 R13 WELS,2936,45.8173745241,-69.3725881152,1135, , 
Ragged Pond,T9 R10 WELS,2746,46.4600673985,-69.039789509,1451,Ragged Pond #1, 
Rainbow Deadwaters,Rainbow Twp,9698,45.81349213899999,-69.1673197721,1034, , 
Rainbow Lake,Rainbow Twp,0614,45.8268610191,-69.1146029506,1050, , 
Rainbow Pond,T10 SD BPP,4436,44.6036655492,-68.0989829203,334, , 
Rancourt Pond,Dennistown Plt,2632,45.6617165521,-70.30647060280001,1321, , 
Rand Lake,Robbinston,1432,45.0875498401,-67.1871238741,273, , 
Rand Pond,Easton,1846,46.6621552827,-67.920930501,635, , 
Randall Lake,Parsonsfield,3887,43.709843106,-70.8754680138,479, ,Existing name - not in GNIS
Rangeley Fish Game Pd,Rangeley,3306,44.9616917609,-70.7770695263,1560,Named changed from unammed pond on 3/1/06 per IF&W request,Yes - unnamed pond to local name
Rangeley Lake,Rangeley,3300,44.9456043281,-70.69904430130001,1518,Oquossoc Lake, 
Raymond Pond,Raymond,3690,43.9689509715,-70.4274060109,307,Little Rattlesnake Pond, 
Raymond Pond,Caribou,9589,46.8585902515,-68.0343382917,485,Named changed from unammed pond on 2/22/06 per IF&W request,Yes - unnamed pond to local name
Rays Mill Pond,T7 R9 NWP,0808,45.39713765640001,-69.27828256719999,1075, , 
Read Lake,Merrill,1716,46.1798615089,-68.23619169689999,1061, , 
Redington Pond,Redington Twp,2318,44.9840850702,-70.4218677824,1614, , 
Redington Pond,Carrabassett Valley,0036,45.0627758599,-70.2435265287,1411, , 
Redmond Pond,Lower Enchanted Twp,0136,45.3651464742,-70.2042964586,1330, , 
Reed Deadwater,T8 R10 WELS,2848,46.3438955255,-69.0509261288,1045, , 
Reed Pond,Eustis,2356,45.1550255403,-70.5032622735,1269, , 
Reed Pond,Macwahoc Plt,3088,45.6670475151,-68.2158849413,425, , 
Reservoir,Fairfield,4813,44.5833735715,-69.6434664855,345, ,Existing name - not in GNIS
Reservoir,Farmington,5199,44.6780193735,-70.1515998002,625, , 
Reservoir,Biddeford,6961,43.4886326538,-70.507406968,179, , 
Reservoir,Lewiston,8971,44.1151853969,-70.18136176909999,395, ,Existing name - not in GNIS
Rich Millpond,Standish,3445,43.8004860599,-70.5791997435,288,Rich Mill Pond (North), 
Rich Millpond,Standish,3445,43.7924871897,-70.5731394252,288,Rich Mill Pond (South), 
Richards Pond,Cape Elizabeth,8901,43.5649089787,-70.2298267107,10, , 
Richardson Lakes,Richardsontown Twp,3308,44.8245677166,-70.8703828141,1448,"Upper and Lower Richardson Lake - Lower Richardson used to be under midas 3280, which was retired", 
Rideout Lake,Monticello,1014,46.3303755605,-67.87141125159999,485, , 
Rideout Pond,T19 R12 WELS,1474,47.2960630833,-69.2918423413,970, , 
Rift Pond,Great Pond,0477,44.950363222,-68.2563742127,361, , 
Rile Pond,Otis,4362,44.7206682933,-68.4375242421,205, , 
Ripley Pond,Ripley,0746,45.00406601569999,-69.3755147991,440, , 
Ripogenus Pond,T4 R12 WELS,2910,45.98833491,-69.26024104450001,1072, , 
Ripple Pond,Mount Desert,4616,44.353841331,-68.3526860648,45, , 
Ritter Lake,Bridgewater,0521,46.3881645838,-67.7905524535,475, , 
River Pond,T2 R9 WELS,2092,45.804142672,-68.928997529,532, , 
Roaring Brook Pond,T7 R9 NWP,0918,45.3939132253,-69.2278213819,900, , 
Roaring lake,Whiting,1412,44.782116696,-67.2251122254,87, , 
Robar Pond,T4 R8 WELS,2014,45.9767048011,-68.7520649383,770, , 
Robbins Brook Pond,T12 R11 WELS,9794,46.723816812,-69.1669550024,1324, , 
Roberts Pond,Lyman,5034,43.5389135385,-70.65300875120001,271,Wadley Pond, 
Roberts Pond,T5 R20 WELS,5164,46.05909434389999,-70.2692645004,1882, , 
Robinson Bog,Guilford,0772,45.1975245688,-69.4000132954,575, , 
Robinson Pond,Caratunk,0220,45.1912568782,-69.9006846521,1476, , 
Robinson Pond,T4 R17 WELS,2436,46.0295506839,-69.9580481431,1706, , 
Robinson Pond,Chesterville,0029,44.5609313036,-70.125104142,405, , 
Robinson Pond,Blaine,6298,46.4791559239,-67.8407274186,360, , 
Rock Crusher Pond,Island Falls,8514,46.0341227221,-68.2908822361,455, , 
Rock Pond,Chain of Ponds Twp,3340,45.2968331511,-70.753652628,2172, , 
Rock Pond,Sandy River Plt,3542,44.9362032297,-70.5379108647,2720, , 
Rock Pond,Moro Plt,3634,46.19092486440001,-68.3888746343,675, , 
Rock Pond,T5 R6 BKP WKR,5108,45.460146424,-70.3902718893,1630, , 
Rock Pond,Waterboro,6827,43.6103059157,-70.69048184800001,325,Big Rock Pond, 
Rockabema Lake,Moro Plt,3636,46.1822616407,-68.3782860276,668, , 
Rocky Bog,Cedar Lake Twp,2008,45.50979058739999,-68.76271267840001,450, , 
Rocky Lake,T25 MD BPP,1182,44.8487257786,-67.7588414937,212, , 
Rocky Lake,Berry Twp,1348,44.8695443091,-67.45853979490001,61, , 
Rocky Lake,Whiting,1368,44.7937940122,-67.26373337210001,89, , 
Rocky Pond,T3 R8 WELS,2018,45.919334501,-68.77159877760001,998, , 
Rocky Pond,T2 R9 WELS,2094,45.8361135858,-68.9079291226,615, , 
Rocky Pond,Orland,4330,44.5881424764,-68.597835494,312, , 
Rocky Pond,Otis,4358,44.6798082224,-68.49415089839999,206, , 
Rocky Pond,T22 MD BPP,4476,44.8001325256,-68.1421421603,276, , 
Rocky Pond,Rockport,4816,44.1768609833,-69.1293366327,250, , 
Rocky Pond,T3 R11 WELS,0676,45.8603252421,-69.1264015357,1195, , 
Rocky Pond,T3 R10 WELS,0708,45.9011323877,-69.0561157173,1090, , 
Roderique Pond,Rockwood Strip T2 R1 NBKP,0317,45.6542405076,-69.92735711580001,1085,Rodericque Pond, 
Rogue Lake,Robbinston,1430,45.08737707379999,-67.2020971275,330, , 
Roland Pond,Dallas Plt,0031,45.0139926421,-70.6300563264,1680, , 
Rolfe Brook Pond,T6 ND BPP,1114,45.1841358652,-67.8576778143,375, , 
Rollins Mill Pond,Charleston,9622,45.0516175125,-69.03191073159999,269, ,Yes - unnamed pond to local name
Ross Lake,Littleton,1020,46.27723661950001,-67.8758087106,476, , 
Ross Lake,T10 R15 WELS,1888,46.4981900041,-69.6186747348,1201,"Chemquasabamtic Lake, Chemquassabamticook Lake", 
Ross Pond,Rangeley,3530,44.9788876164,-70.6710710767,1595, , 
Ross Pond,Bristol,4858,43.9220613699,-69.49368267040001,121, , 
Round Bog,Wellington,0312,45.0405471802,-69.5170493521,530, , 
Round Lake,T19 ED BPP,1240,44.9093374806,-67.5170510836,63, , 
Round Mountain Pond,T11 R8 WELS,1966,46.6021139929,-68.7886785437,1095, , 
Round Mountain Pond,Alder Stream Twp,5058,45.2662359282,-70.6455653062,1787, , 
Round Pond,T13 R12 WELS,1470,46.7657241492,-69.2674523653,782, , 
Round Pond,T14 R8 WELS,1594,46.85440673880001,-68.741166365,709, , 
Round Pond,Charlotte,0171,45.0200090029,-67.2677760001,77, , 
Round Pond,T2 R9 WELS,2096,45.8395862649,-68.90686612410001,635, , 
Round Pond,Soldiertown Twp T2 R7 WELS,2312,45.7694245598,-68.58003121900001,305, , 
Round Pond,Lee,0235,45.3360017111,-68.2302152697,286, , 
Round Pond,Skowhegan,2616,44.7643353321,-69.6085268188,175, , 
Round Pond,Appleton Twp,2670,45.51122078649999,-70.49310912200001,1518, , 
Round Pond,T6 R11 WELS,2710,46.1628297416,-69.196293134,943,Part of Telos Lake, 
Round Pond,T9 R13 WELS,2858,46.405219148,-69.35067022849999,930,Part of / connected to Big Eagle Lake, 
Round Pond,Lobster Twp,2914,45.8973191537,-69.45481118399999,1143, , 
Round Pond,Norway,3428,44.2109664254,-70.6141499813,598, , 
Round Pond,Rangeley,3524,44.9980915392,-70.718023847,1545, , 
Round Pond,Township E,3584,44.8337242275,-70.67201014600001,2379, , 
Round Pond,Turner,3800,44.1932527144,-70.2425600247,325, , 
Round Pond,Livermore,3818,44.4326436271,-70.2188831683,474, , 
Round Pond,Sanford,3858,43.4017488606,-70.7584475944,245, , 
Round Pond,Newfield,3900,43.6171601517,-70.88205468069999,495, , 
Round Pond,Alfred,3978,43.462980871,-70.7174832545,235, , 
Round Pond,T7 R14 WELS,4004,46.242751833,-69.55972783599999,998, , 
Round Pond,Squaretown Twp,4076,45.414316646,-69.75960097140001,1474, , 
Round Pond,Chase Stream Twp,4092,45.46810707,-69.9448590718,1145, , 
Round Pond,Sapling Twp,4100,45.5830323427,-69.7717105901,970, , 
Round Pond,T7 R9 WELS,4158,46.3025275204,-68.82123824759999,738, , 
Round Pond,Trout Brook Twp,4234,46.1370597289,-68.8309994385,925, , 
Round Pond,Mount Desert,4620,44.3536276102,-68.3778552441,73,Black Pool, 
Round Pond,Brooksville,4636,44.335875884,-68.7210077068,190, , 
Round Pond,TA R11 WELS,0490,45.5998322922,-69.14258719279999,1131, , 
Round Pond,Livermore Falls,0499,44.4387309425,-70.1213620371,375, , 
Round Pond,Lyman,5038,43.5155080834,-70.5889734762,215, , 
Round Pond,Chain of Ponds Twp,5064,45.3564484402,-70.7046547113,1275,Chain of Ponds, 
Round Pond,Chesterville,5212,44.5241646073,-70.0886013822,363, , 
